,Place Name,Year,Period,Index (SA)
1895,New England Division,2021,4,315.54
1896,New England Division,2021,5,322.07
1897,New England Division,2021,6,326.74
1898,New England Division,2021,7,331.33
1899,New England Division,2021,8,330.98
1900,New England Division,2021,9,336.99
1901,New England Division,2021,10,337.73
1902,New England Division,2021,11,341.7
1903,New England Division,2021,12,348.38
1904,New England Division,2022,1,349.67
1905,New England Division,2022,2,357.74
1906,New England Division,2022,3,363.5
1907,New England Division,2022,4,371.02
1908,New England Division,2022,5,375.93
1909,New England Division,2022,6,373.28
1910,New England Division,2022,7,370.05
1911,New England Division,2022,8,370.69
1912,New England Division,2022,9,367.54
1913,New England Division,2022,10,372.13
1914,New England Division,2022,11,370.26
1915,Pacific Division,1991,1,100.0
1916,Pacific Division,1991,2,100.52
1917,Pacific Division,1991,3,100.1
1918,Pacific Division,1991,4,100.11
1919,Pacific Division,1991,5,100.05
1920,Pacific Division,1991,6,99.88
1921,Pacific Division,1991,7,99.82
1922,Pacific Division,1991,8,99.95
1923,Pacific Division,1991,9,99.44
1924,Pacific Division,1991,10,100.26
1925,Pacific Division,1991,11,100.57
1926,Pacific Division,1991,12,100.7
1927,Pacific Division,1992,1,100.96
1928,Pacific Division,1992,2,101.4
1929,Pacific Division,1992,3,100.8
1930,Pacific Division,1992,4,100.36
1931,Pacific Division,1992,5,100.17
1932,Pacific Division,1992,6,99.7
1933,Pacific Division,1992,7,99.97
1934,Pacific Division,1992,8,100.11
1935,Pacific Division,1992,9,100.15
1936,Pacific Division,1992,10,99.52
1937,Pacific Division,1992,11,99.58
1938,Pacific Division,1992,12,99.2
1939,Pacific Division,1993,1,98.63
1940,Pacific Division,1993,2,98.09
1941,Pacific Division,1993,3,98.21
1942,Pacific Division,1993,4,98.27
1943,Pacific Division,1993,5,97.86
1944,Pacific Division,1993,6,97.83
1945,Pacific Division,1993,7,96.8
1946,Pacific Division,1993,8,97.21
1947,Pacific Division,1993,9,96.93
1948,Pacific Division,1993,10,97.24
1949,Pacific Division,1993,11,96.8
1950,Pacific Division,1993,12,96.82
1951,Pacific Division,1994,1,96.77
1952,Pacific Division,1994,2,96.62
1953,Pacific Division,1994,3,96.5
1954,Pacific Division,1994,4,96.81
1955,Pacific Division,1994,5,96.41
1956,Pacific Division,1994,6,96.49
1957,Pacific Division,1994,7,96.22
1958,Pacific Division,1994,8,96.08
1959,Pacific Division,1994,9,96.26
1960,Pacific Division,1994,10,96.01
1961,Pacific Division,1994,11,95.71
1962,Pacific Division,1994,12,95.91
1963,Pacific Division,1995,1,96.06
1964,Pacific Division,1995,2,96.53
1965,Pacific Division,1995,3,95.66
1966,Pacific Division,1995,4,95.15
1967,Pacific Division,1995,5,95.56
1968,Pacific Division,1995,6,95.34
1969,Pacific Division,1995,7,95.57
1970,Pacific Division,1995,8,95.66
1971,Pacific Division,1995,9,95.43
1972,Pacific Division,1995,10,95.37
1973,Pacific Division,1995,11,95.42
1974,Pacific Division,1995,12,95.48
1975,Pacific Division,1996,1,95.73
1976,Pacific Division,1996,2,95.65
1977,Pacific Division,1996,3,95.65
1978,Pacific Division,1996,4,95.49
1979,Pacific Division,1996,5,95.5
1980,Pacific Division,1996,6,95.58
1981,Pacific Division,1996,7,95.82
1982,Pacific Division,1996,8,95.58
1983,Pacific Division,1996,9,95.73
1984,Pacific Division,1996,10,95.98
1985,Pacific Division,1996,11,96.3
1986,Pacific Division,1996,12,96.51
1987,Pacific Division,1997,1,96.22
1988,Pacific Division,1997,2,96.2
1989,Pacific Division,1997,3,96.8
1990,Pacific Division,1997,4,97.54
1991,Pacific Division,1997,5,97.78
1992,Pacific Division,1997,6,97.88
1993,Pacific Division,1997,7,98.59
1994,Pacific Division,1997,8,99.11
1995,Pacific Division,1997,9,99.44
1996,Pacific Division,1997,10,99.76
1997,Pacific Division,1997,11,100.77
1998,Pacific Division,1997,12,100.98
1999,Pacific Division,1998,1,101.68
2000,Pacific Division,1998,2,102.89
2001,Pacific Division,1998,3,103.31
2002,Pacific Division,1998,4,104.56
2003,Pacific Division,1998,5,105.17
2004,Pacific Division,1998,6,106.15
2005,Pacific Division,1998,7,106.55
2006,Pacific Division,1998,8,107.21
2007,Pacific Division,1998,9,107.85
2008,Pacific Division,1998,10,108.73
2009,Pacific Division,1998,11,109.51
2010,Pacific Division,1998,12,109.63
2011,Pacific Division,1999,1,111.14
2012,Pacific Division,1999,2,111.49
2013,Pacific Division,1999,3,112.48
2014,Pacific Division,1999,4,113.19
2015,Pacific Division,1999,5,113.83
2016,Pacific Division,1999,6,114.73
2017,Pacific Division,1999,7,115.27
2018,Pacific Division,1999,8,116.16
2019,Pacific Division,1999,9,116.92
2020,Pacific Division,1999,10,118.0
2021,Pacific Division,1999,11,118.74
2022,Pacific Division,1999,12,119.52
2023,Pacific Division,2000,1,122.31
2024,Pacific Division,2000,2,121.28
2025,Pacific Division,2000,3,122.9
2026,Pacific Division,2000,4,123.77
2027,Pacific Division,2000,5,124.88
2028,Pacific Division,2000,6,125.91
2029,Pacific Division,2000,7,126.89
2030,Pacific Division,2000,8,128.06
2031,Pacific Division,2000,9,129.38
2032,Pacific Division,2000,10,130.84
2033,Pacific Division,2000,11,132.4
2034,Pacific Division,2000,12,133.61
2035,Pacific Division,2001,1,134.74
2036,Pacific Division,2001,2,136.31
2037,Pacific Division,2001,3,137.54
2038,Pacific Division,2001,4,138.52
2039,Pacific Division,2001,5,139.33
2040,Pacific Division,2001,6,140.07
2041,Pacific Division,2001,7,140.89
2042,Pacific Division,2001,8,141.9
2043,Pacific Division,2001,9,143.22
2044,Pacific Division,2001,10,144.03
2045,Pacific Division,2001,11,144.69
2046,Pacific Division,2001,12,146.4
2047,Pacific Division,2002,1,147.89
2048,Pacific Division,2002,2,149.05
2049,Pacific Division,2002,3,150.83
2050,Pacific Division,2002,4,152.3
2051,Pacific Division,2002,5,154.48
2052,Pacific Division,2002,6,156.54
2053,Pacific Division,2002,7,158.59
2054,Pacific Division,2002,8,160.36
2055,Pacific Division,2002,9,161.62
2056,Pacific Division,2002,10,164.02
2057,Pacific Division,2002,11,165.1
2058,Pacific Division,2002,12,166.82
2059,Pacific Division,2003,1,169.08
2060,Pacific Division,2003,2,170.83
2061,Pacific Division,2003,3,172.12
2062,Pacific Division,2003,4,174.34
2063,Pacific Division,2003,5,175.78
2064,Pacific Division,2003,6,176.97
2065,Pacific Division,2003,7,179.4
2066,Pacific Division,2003,8,182.33
2067,Pacific Division,2003,9,184.79
2068,Pacific Division,2003,10,188.17
2069,Pacific Division,2003,11,190.98
2070,Pacific Division,2003,12,193.94
2071,Pacific Division,2004,1,197.07
2072,Pacific Division,2004,2,198.91
2073,Pacific Division,2004,3,202.95
2074,Pacific Division,2004,4,205.85
2075,Pacific Division,2004,5,210.67
2076,Pacific Division,2004,6,215.61
2077,Pacific Division,2004,7,219.35
2078,Pacific Division,2004,8,222.44
2079,Pacific Division,2004,9,225.64
2080,Pacific Division,2004,10,228.58
2081,Pacific Division,2004,11,233.05
2082,Pacific Division,2004,12,237.34
2083,Pacific Division,2005,1,239.2
2084,Pacific Division,2005,2,243.07
2085,Pacific Division,2005,3,247.77
2086,Pacific Division,2005,4,251.67
2087,Pacific Division,2005,5,256.19
2088,Pacific Division,2005,6,259.56
2089,Pacific Division,2005,7,263.54
2090,Pacific Division,2005,8,267.66
2091,Pacific Division,2005,9,271.88
2092,Pacific Division,2005,10,273.16
2093,Pacific Division,2005,11,274.34
2094,Pacific Division,2005,12,278.07
2095,Pacific Division,2006,1,278.7
2096,Pacific Division,2006,2,280.69
2097,Pacific Division,2006,3,280.66
2098,Pacific Division,2006,4,280.74
2099,Pacific Division,2006,5,281.29
2100,Pacific Division,2006,6,280.54
2101,Pacific Division,2006,7,278.65
2102,Pacific Division,2006,8,278.67
2103,Pacific Division,2006,9,277.34
2104,Pacific Division,2006,10,275.28
2105,Pacific Division,2006,11,276.31
2106,Pacific Division,2006,12,275.55
2107,Pacific Division,2007,1,277.16
2108,Pacific Division,2007,2,274.03
2109,Pacific Division,2007,3,278.36
2110,Pacific Division,2007,4,276.69
2111,Pacific Division,2007,5,272.83
2112,Pacific Division,2007,6,269.43
2113,Pacific Division,2007,7,266.73
2114,Pacific Division,2007,8,260.76
2115,Pacific Division,2007,9,258.12
2116,Pacific Division,2007,10,253.12
2117,Pacific Division,2007,11,247.87
2118,Pacific Division,2007,12,243.19
2119,Pacific Division,2008,1,239.15
2120,Pacific Division,2008,2,232.72
2121,Pacific Division,2008,3,225.23
2122,Pacific Division,2008,4,220.69
2123,Pacific Division,2008,5,215.35
2124,Pacific Division,2008,6,212.09
2125,Pacific Division,2008,7,207.51
2126,Pacific Division,2008,8,203.5
2127,Pacific Division,2008,9,199.65
2128,Pacific Division,2008,10,196.97
2129,Pacific Division,2008,11,192.48
2130,Pacific Division,2008,12,191.38
2131,Pacific Division,2009,1,188.99
2132,Pacific Division,2009,2,188.78
2133,Pacific Division,2009,3,186.45
2134,Pacific Division,2009,4,184.62
2135,Pacific Division,2009,5,183.98
2136,Pacific Division,2009,6,185.11
2137,Pacific Division,2009,7,184.91
2138,Pacific Division,2009,8,186.62
2139,Pacific Division,2009,9,185.63
2140,Pacific Division,2009,10,187.22
2141,Pacific Division,2009,11,189.36
2142,Pacific Division,2009,12,186.94
2143,Pacific Division,2010,1,185.73
2144,Pacific Division,2010,2,186.85
2145,Pacific Division,2010,3,186.55
2146,Pacific Division,2010,4,186.83
2147,Pacific Division,2010,5,187.66
2148,Pacific Division,2010,6,183.28
2149,Pacific Division,2010,7,183.06
2150,Pacific Division,2010,8,181.53
2151,Pacific Division,2010,9,180.63
2152,Pacific Division,2010,10,178.44
2153,Pacific Division,2010,11,178.71
2154,Pacific Division,2010,12,177.39
2155,Pacific Division,2011,1,174.72
2156,Pacific Division,2011,2,173.66
2157,Pacific Division,2011,3,172.02
2158,Pacific Division,2011,4,171.11
2159,Pacific Division,2011,5,169.84
2160,Pacific Division,2011,6,169.18
2161,Pacific Division,2011,7,169.9
2162,Pacific Division,2011,8,168.98
2163,Pacific Division,2011,9,169.79
2164,Pacific Division,2011,10,169.21
2165,Pacific Division,2011,11,169.57
2166,Pacific Division,2011,12,169.3
2167,Pacific Division,2012,1,169.87
2168,Pacific Division,2012,2,170.08
2169,Pacific Division,2012,3,172.04
2170,Pacific Division,2012,4,173.37
2171,Pacific Division,2012,5,175.27
2172,Pacific Division,2012,6,177.07
2173,Pacific Division,2012,7,176.4
2174,Pacific Division,2012,8,181.07
2175,Pacific Division,2012,9,180.76
2176,Pacific Division,2012,10,184.28
2177,Pacific Division,2012,11,186.32
2178,Pacific Division,2012,12,188.92
2179,Pacific Division,2013,1,192.15
2180,Pacific Division,2013,2,193.21
2181,Pacific Division,2013,3,197.05
2182,Pacific Division,2013,4,200.23
2183,Pacific Division,2013,5,203.28
2184,Pacific Division,2013,6,205.98
2185,Pacific Division,2013,7,209.11
2186,Pacific Division,2013,8,210.49
2187,Pacific Division,2013,9,212.67
2188,Pacific Division,2013,10,213.7
2189,Pacific Division,2013,11,214.23
2190,Pacific Division,2013,12,215.29
2191,Pacific Division,2014,1,216.93
2192,Pacific Division,2014,2,218.88
2193,Pacific Division,2014,3,219.9
2194,Pacific Division,2014,4,221.12
2195,Pacific Division,2014,5,221.7
2196,Pacific Division,2014,6,223.39
2197,Pacific Division,2014,7,224.71
2198,Pacific Division,2014,8,226.57
2199,Pacific Division,2014,9,226.49
2200,Pacific Division,2014,10,228.32
2201,Pacific Division,2014,11,229.52
2202,Pacific Division,2014,12,231.49
2203,Pacific Division,2015,1,233.27
2204,Pacific Division,2015,2,234.22
2205,Pacific Division,2015,3,235.52
2206,Pacific Division,2015,4,237.34
2207,Pacific Division,2015,5,238.6
2208,Pacific Division,2015,6,239.73
2209,Pacific Division,2015,7,241.74
2210,Pacific Division,2015,8,242.67
2211,Pacific Division,2015,9,243.89
2212,Pacific Division,2015,10,246.17
2213,Pacific Division,2015,11,248.96
2214,Pacific Division,2015,12,250.25
2215,Pacific Division,2016,1,250.19
2216,Pacific Division,2016,2,253.36
2217,Pacific Division,2016,3,254.83
2218,Pacific Division,2016,4,256.52
2219,Pacific Division,2016,5,257.07
2220,Pacific Division,2016,6,258.37
2221,Pacific Division,2016,7,260.13
2222,Pacific Division,2016,8,261.33
2223,Pacific Division,2016,9,264.21
2224,Pacific Division,2016,10,265.25
2225,Pacific Division,2016,11,267.66
2226,Pacific Division,2016,12,269.39
2227,Pacific Division,2017,1,270.51
2228,Pacific Division,2017,2,271.82
2229,Pacific Division,2017,3,274.44
2230,Pacific Division,2017,4,276.64
2231,Pacific Division,2017,5,278.97
2232,Pacific Division,2017,6,280.74
2233,Pacific Division,2017,7,281.63
2234,Pacific Division,2017,8,284.97
2235,Pacific Division,2017,9,287.3
2236,Pacific Division,2017,10,287.11
2237,Pacific Division,2017,11,290.5
2238,Pacific Division,2017,12,291.65
2239,Pacific Division,2018,1,293.87
2240,Pacific Division,2018,2,297.28
2241,Pacific Division,2018,3,297.1
2242,Pacific Division,2018,4,298.05
2243,Pacific Division,2018,5,298.67
2244,Pacific Division,2018,6,300.9
2245,Pacific Division,2018,7,301.67
2246,Pacific Division,2018,8,304.49
2247,Pacific Division,2018,9,304.0
2248,Pacific Division,2018,10,304.6
2249,Pacific Division,2018,11,305.72
2250,Pacific Division,2018,12,306.46
2251,Pacific Division,2019,1,307.57
2252,Pacific Division,2019,2,307.41
2253,Pacific Division,2019,3,309.14
2254,Pacific Division,2019,4,310.85
2255,Pacific Division,2019,5,312.54
2256,Pacific Division,2019,6,313.74
2257,Pacific Division,2019,7,315.85
2258,Pacific Division,2019,8,316.64
2259,Pacific Division,2019,9,317.58
2260,Pacific Division,2019,10,319.62
2261,Pacific Division,2019,11,321.72
2262,Pacific Division,2019,12,323.65
2263,Pacific Division,2020,1,325.93
2264,Pacific Division,2020,2,327.48
2265,Pacific Division,2020,3,328.76
2266,Pacific Division,2020,4,329.67
2267,Pacific Division,2020,5,326.64
2268,Pacific Division,2020,6,332.44
2269,Pacific Division,2020,7,337.56
2270,Pacific Division,2020,8,342.86
2271,Pacific Division,2020,9,349.18
2272,Pacific Division,2020,10,354.76
2273,Pacific Division,2020,11,360.85
2274,Pacific Division,2020,12,364.92
2275,Pacific Division,2021,1,368.7
2276,Pacific Division,2021,2,374.58
2277,Pacific Division,2021,3,380.59
2278,Pacific Division,2021,4,387.92
2279,Pacific Division,2021,5,396.91
2280,Pacific Division,2021,6,404.38
2281,Pacific Division,2021,7,411.16
2282,Pacific Division,2021,8,416.04
2283,Pacific Division,2021,9,418.33
2284,Pacific Division,2021,10,425.04
2285,Pacific Division,2021,11,430.05
2286,Pacific Division,2021,12,436.26
2287,Pacific Division,2022,1,443.56
2288,Pacific Division,2022,2,449.58
2289,Pacific Division,2022,3,455.12
2290,Pacific Division,2022,4,460.2
2291,Pacific Division,2022,5,459.97
2292,Pacific Division,2022,6,458.93
2293,Pacific Division,2022,7,452.68
2294,Pacific Division,2022,8,448.12
2295,Pacific Division,2022,9,448.35
2296,Pacific Division,2022,10,445.38
2297,Pacific Division,2022,11,440.48
2298,South Atlantic Division,1991,1,100.0
2299,South Atlantic Division,1991,2,100.46
2300,South Atlantic Division,1991,3,100.63
2301,South Atlantic Division,1991,4,100.43
2302,South Atlantic Division,1991,5,100.5
2303,South Atlantic Division,1991,6,100.53
2304,South Atlantic Division,1991,7,100.43
2305,South Atlantic Division,1991,8,100.03
2306,South Atlantic Division,1991,9,100.08
2307,South Atlantic Division,1991,10,100.93
2308,South Atlantic Division,1991,11,101.23
2309,South Atlantic Division,1991,12,101.57
2310,South Atlantic Division,1992,1,101.86
2311,South Atlantic Division,1992,2,102.58
2312,South Atlantic Division,1992,3,102.25
2313,South Atlantic Division,1992,4,101.85
2314,South Atlantic Division,1992,5,102.02
2315,South Atlantic Division,1992,6,101.7
2316,South Atlantic Division,1992,7,102.17
2317,South Atlantic Division,1992,8,102.97
2318,South Atlantic Division,1992,9,103.46
2319,South Atlantic Division,1992,10,103.64
2320,South Atlantic Division,1992,11,103.44
2321,South Atlantic Division,1992,12,103.18
2322,South Atlantic Division,1993,1,103.26
2323,South Atlantic Division,1993,2,103.18
2324,South Atlantic Division,1993,3,103.66
2325,South Atlantic Division,1993,4,104.29
2326,South Atlantic Division,1993,5,104.42
2327,South Atlantic Division,1993,6,104.82
2328,South Atlantic Division,1993,7,104.94
2329,South Atlantic Division,1993,8,105.15
2330,South Atlantic Division,1993,9,105.47
2331,South Atlantic Division,1993,10,105.47
2332,South Atlantic Division,1993,11,105.69
2333,South Atlantic Division,1993,12,106.57
2334,South Atlantic Division,1994,1,106.44
2335,South Atlantic Division,1994,2,106.81
2336,South Atlantic Division,1994,3,107.03
2337,South Atlantic Division,1994,4,107.67
2338,South Atlantic Division,1994,5,107.83
2339,South Atlantic Division,1994,6,108.05
2340,South Atlantic Division,1994,7,108.35
2341,South Atlantic Division,1994,8,108.82
2342,South Atlantic Division,1994,9,108.96
2343,South Atlantic Division,1994,10,109.05
2344,South Atlantic Division,1994,11,109.67
2345,South Atlantic Division,1994,12,109.83
2346,South Atlantic Division,1995,1,110.14
2347,South Atlantic Division,1995,2,110.67
2348,South Atlantic Division,1995,3,110.33
2349,South Atlantic Division,1995,4,110.43
2350,South Atlantic Division,1995,5,110.55
2351,South Atlantic Division,1995,6,110.84
2352,South Atlantic Division,1995,7,111.71
2353,South Atlantic Division,1995,8,111.76
2354,South Atlantic Division,1995,9,112.18
2355,South Atlantic Division,1995,10,112.03
2356,South Atlantic Division,1995,11,112.43
2357,South Atlantic Division,1995,12,112.54
2358,South Atlantic Division,1996,1,113.36
2359,South Atlantic Division,1996,2,113.13
2360,South Atlantic Division,1996,3,113.97
2361,South Atlantic Division,1996,4,114.07
2362,South Atlantic Division,1996,5,114.26
2363,South Atlantic Division,1996,6,114.26
2364,South Atlantic Division,1996,7,114.81
2365,South Atlantic Division,1996,8,115.03
2366,South Atlantic Division,1996,9,115.33
2367,South Atlantic Division,1996,10,115.53
2368,South Atlantic Division,1996,11,115.29
2369,South Atlantic Division,1996,12,115.83
2370,South Atlantic Division,1997,1,116.21
2371,South Atlantic Division,1997,2,116.49
2372,South Atlantic Division,1997,3,117.2
2373,South Atlantic Division,1997,4,117.03
2374,South Atlantic Division,1997,5,117.26
2375,South Atlantic Division,1997,6,117.61
2376,South Atlantic Division,1997,7,117.27
2377,South Atlantic Division,1997,8,118.14
2378,South Atlantic Division,1997,9,118.21
2379,South Atlantic Division,1997,10,118.65
2380,South Atlantic Division,1997,11,119.43
2381,South Atlantic Division,1997,12,119.72
2382,South Atlantic Division,1998,1,119.79
2383,South Atlantic Division,1998,2,120.58
2384,South Atlantic Division,1998,3,120.87
2385,South Atlantic Division,1998,4,121.36
2386,South Atlantic Division,1998,5,121.76
2387,South Atlantic Division,1998,6,122.34
2388,South Atlantic Division,1998,7,122.68
2389,South Atlantic Division,1998,8,122.85
2390,South Atlantic Division,1998,9,123.82
2391,South Atlantic Division,1998,10,124.04
2392,South Atlantic Division,1998,11,124.74
2393,South Atlantic Division,1998,12,125.29
2394,South Atlantic Division,1999,1,126.01
2395,South Atlantic Division,1999,2,126.56
2396,South Atlantic Division,1999,3,127.07
2397,South Atlantic Division,1999,4,127.62
2398,South Atlantic Division,1999,5,128.49
2399,South Atlantic Division,1999,6,128.68
2400,South Atlantic Division,1999,7,129.44
2401,South Atlantic Division,1999,8,130.09
2402,South Atlantic Division,1999,9,130.24
2403,South Atlantic Division,1999,10,131.37
2404,South Atlantic Division,1999,11,131.76
2405,South Atlantic Division,1999,12,132.16
2406,South Atlantic Division,2000,1,133.31
2407,South Atlantic Division,2000,2,133.68
2408,South Atlantic Division,2000,3,134.27
2409,South Atlantic Division,2000,4,135.36
2410,South Atlantic Division,2000,5,135.95
2411,South Atlantic Division,2000,6,136.84
2412,South Atlantic Division,2000,7,137.59
2413,South Atlantic Division,2000,8,137.93
2414,South Atlantic Division,2000,9,138.79
2415,South Atlantic Division,2000,10,139.35
2416,South Atlantic Division,2000,11,140.1
2417,South Atlantic Division,2000,12,141.42
2418,South Atlantic Division,2001,1,142.25
2419,South Atlantic Division,2001,2,142.57
2420,South Atlantic Division,2001,3,144.14
2421,South Atlantic Division,2001,4,144.95
2422,South Atlantic Division,2001,5,145.34
2423,South Atlantic Division,2001,6,146.2
2424,South Atlantic Division,2001,7,147.52
2425,South Atlantic Division,2001,8,148.28
2426,South Atlantic Division,2001,9,148.69
2427,South Atlantic Division,2001,10,149.99
2428,South Atlantic Division,2001,11,150.27
2429,South Atlantic Division,2001,12,151.53
2430,South Atlantic Division,2002,1,152.31
2431,South Atlantic Division,2002,2,153.85
2432,South Atlantic Division,2002,3,154.32
2433,South Atlantic Division,2002,4,155.35
2434,South Atlantic Division,2002,5,156.38
2435,South Atlantic Division,2002,6,157.31
2436,South Atlantic Division,2002,7,158.24
2437,South Atlantic Division,2002,8,159.04
2438,South Atlantic Division,2002,9,160.84
2439,South Atlantic Division,2002,10,161.61
2440,South Atlantic Division,2002,11,162.71
2441,South Atlantic Division,2002,12,164.06
2442,South Atlantic Division,2003,1,164.73
2443,South Atlantic Division,2003,2,166.21
2444,South Atlantic Division,2003,3,166.86
2445,South Atlantic Division,2003,4,167.87
2446,South Atlantic Division,2003,5,169.17
2447,South Atlantic Division,2003,6,170.38
2448,South Atlantic Division,2003,7,171.84
2449,South Atlantic Division,2003,8,172.5
2450,South Atlantic Division,2003,9,173.97
2451,South Atlantic Division,2003,10,175.08
2452,South Atlantic Division,2003,11,176.8
2453,South Atlantic Division,2003,12,177.97
2454,South Atlantic Division,2004,1,179.94
2455,South Atlantic Division,2004,2,180.99
2456,South Atlantic Division,2004,3,183.0
2457,South Atlantic Division,2004,4,184.8
2458,South Atlantic Division,2004,5,187.05
2459,South Atlantic Division,2004,6,188.85
2460,South Atlantic Division,2004,7,191.24
2461,South Atlantic Division,2004,8,193.25
2462,South Atlantic Division,2004,9,195.4
2463,South Atlantic Division,2004,10,197.28
2464,South Atlantic Division,2004,11,199.13
2465,South Atlantic Division,2004,12,201.64
2466,South Atlantic Division,2005,1,204.32
2467,South Atlantic Division,2005,2,205.96
2468,South Atlantic Division,2005,3,209.03
2469,South Atlantic Division,2005,4,211.12
2470,South Atlantic Division,2005,5,214.06
2471,South Atlantic Division,2005,6,217.47
2472,South Atlantic Division,2005,7,220.08
2473,South Atlantic Division,2005,8,222.82
2474,South Atlantic Division,2005,9,224.7
2475,South Atlantic Division,2005,10,226.46
2476,South Atlantic Division,2005,11,229.29
2477,South Atlantic Division,2005,12,231.19
2478,South Atlantic Division,2006,1,233.57
2479,South Atlantic Division,2006,2,233.13
2480,South Atlantic Division,2006,3,234.88
2481,South Atlantic Division,2006,4,235.57
2482,South Atlantic Division,2006,5,235.98
2483,South Atlantic Division,2006,6,236.28
2484,South Atlantic Division,2006,7,236.34
2485,South Atlantic Division,2006,8,237.53
2486,South Atlantic Division,2006,9,237.85
2487,South Atlantic Division,2006,10,238.91
2488,South Atlantic Division,2006,11,240.11
2489,South Atlantic Division,2006,12,240.17
2490,South Atlantic Division,2007,1,239.63
2491,South Atlantic Division,2007,2,241.46
2492,South Atlantic Division,2007,3,240.81
2493,South Atlantic Division,2007,4,241.19
2494,South Atlantic Division,2007,5,240.31
2495,South Atlantic Division,2007,6,238.76
2496,South Atlantic Division,2007,7,236.28
2497,South Atlantic Division,2007,8,236.43
2498,South Atlantic Division,2007,9,235.26
2499,South Atlantic Division,2007,10,233.37
2500,South Atlantic Division,2007,11,230.73
2501,South Atlantic Division,2007,12,229.17
2502,South Atlantic Division,2008,1,227.51
2503,South Atlantic Division,2008,2,224.35
2504,South Atlantic Division,2008,3,222.95
2505,South Atlantic Division,2008,4,219.65
2506,South Atlantic Division,2008,5,215.05
2507,South Atlantic Division,2008,6,213.23
2508,South Atlantic Division,2008,7,210.75
2509,South Atlantic Division,2008,8,207.23
2510,South Atlantic Division,2008,9,203.86
2511,South Atlantic Division,2008,10,202.64
2512,South Atlantic Division,2008,11,197.09
2513,South Atlantic Division,2008,12,194.26
2514,South Atlantic Division,2009,1,198.72
2515,South Atlantic Division,2009,2,198.83
2516,South Atlantic Division,2009,3,195.2
2517,South Atlantic Division,2009,4,193.57
2518,South Atlantic Division,2009,5,193.88
2519,South Atlantic Division,2009,6,193.38
2520,South Atlantic Division,2009,7,193.66
2521,South Atlantic Division,2009,8,191.6
2522,South Atlantic Division,2009,9,192.91
2523,South Atlantic Division,2009,10,190.9
2524,South Atlantic Division,2009,11,192.1
2525,South Atlantic Division,2009,12,188.26
2526,South Atlantic Division,2010,1,190.26
2527,South Atlantic Division,2010,2,187.0
2528,South Atlantic Division,2010,3,187.81
2529,South Atlantic Division,2010,4,188.38
2530,South Atlantic Division,2010,5,186.29
2531,South Atlantic Division,2010,6,186.11
2532,South Atlantic Division,2010,7,183.61
2533,South Atlantic Division,2010,8,183.2
2534,South Atlantic Division,2010,9,180.56
2535,South Atlantic Division,2010,10,180.75
2536,South Atlantic Division,2010,11,180.77
2537,South Atlantic Division,2010,12,179.72
2538,South Atlantic Division,2011,1,177.26
2539,South Atlantic Division,2011,2,175.7
2540,South Atlantic Division,2011,3,173.35
2541,South Atlantic Division,2011,4,173.63
2542,South Atlantic Division,2011,5,173.74
2543,South Atlantic Division,2011,6,174.05
2544,South Atlantic Division,2011,7,173.56
2545,South Atlantic Division,2011,8,174.64
2546,South Atlantic Division,2011,9,176.93
2547,South Atlantic Division,2011,10,175.34
2548,South Atlantic Division,2011,11,175.01
2549,South Atlantic Division,2011,12,176.92
2550,South Atlantic Division,2012,1,175.65
2551,South Atlantic Division,2012,2,176.14
2552,South Atlantic Division,2012,3,176.93
2553,South Atlantic Division,2012,4,179.53
2554,South Atlantic Division,2012,5,179.64
2555,South Atlantic Division,2012,6,179.89
2556,South Atlantic Division,2012,7,180.66
2557,South Atlantic Division,2012,8,182.15
2558,South Atlantic Division,2012,9,183.44
2559,South Atlantic Division,2012,10,183.94
2560,South Atlantic Division,2012,11,184.33
2561,South Atlantic Division,2012,12,184.96
2562,South Atlantic Division,2013,1,186.78
2563,South Atlantic Division,2013,2,188.52
2564,South Atlantic Division,2013,3,190.28
2565,South Atlantic Division,2013,4,190.65
2566,South Atlantic Division,2013,5,193.01
2567,South Atlantic Division,2013,6,193.84
2568,South Atlantic Division,2013,7,195.45
2569,South Atlantic Division,2013,8,196.07
2570,South Atlantic Division,2013,9,196.32
2571,South Atlantic Division,2013,10,197.11
2572,South Atlantic Division,2013,11,197.61
2573,South Atlantic Division,2013,12,198.95
2574,South Atlantic Division,2014,1,199.34
2575,South Atlantic Division,2014,2,200.32
2576,South Atlantic Division,2014,3,200.92
2577,South Atlantic Division,2014,4,201.43
2578,South Atlantic Division,2014,5,202.32
2579,South Atlantic Division,2014,6,203.6
2580,South Atlantic Division,2014,7,204.4
2581,South Atlantic Division,2014,8,203.86
2582,South Atlantic Division,2014,9,204.73
2583,South Atlantic Division,2014,10,205.96
2584,South Atlantic Division,2014,11,207.8
2585,South Atlantic Division,2014,12,208.98
2586,South Atlantic Division,2015,1,208.03
2587,South Atlantic Division,2015,2,211.98
2588,South Atlantic Division,2015,3,212.54
2589,South Atlantic Division,2015,4,212.36
2590,South Atlantic Division,2015,5,214.26
2591,South Atlantic Division,2015,6,215.43
2592,South Atlantic Division,2015,7,216.35
2593,South Atlantic Division,2015,8,216.75
2594,South Atlantic Division,2015,9,218.33
2595,South Atlantic Division,2015,10,219.9
2596,South Atlantic Division,2015,11,220.97
2597,South Atlantic Division,2015,12,221.7
2598,South Atlantic Division,2016,1,223.87
2599,South Atlantic Division,2016,2,222.41
2600,South Atlantic Division,2016,3,224.99
